DEBUTSEM,ANNEE,MOIS,PROV,LAT,LON,MALADIE,TOTALCAS,TOTALDECES,POP
2006-01-02,2006,1,EQUATEUR,0.16,18.25,PALUDISME,4346,2,194878.0
2006-01-02,2006,1,EQUATEUR,0.16,18.25,ROUGEOLE,1,0,100389.0
2006-01-02,2006,1,KASAI,-5.45,20.97,PALUDISME,6241,18,285633.0
2006-01-02,2006,1,KASAI,-5.45,20.97,ROUGEOLE,1,0,124230.0
2006-01-02,2006,1,KASAI-ORIENTAL,-6.15,23.6,PALUDISME,5584,35,432387.0
2006-01-02,2006,1,KASAI-ORIENTAL,-6.15,23.6,ROUGEOLE,22,0,184688.0
2006-01-02,2006,1,KATANGA,-9.64,26.31,CHOLERA,358,16,242153.0
2006-01-02,2006,1,KATANGA,-9.64,26.31,PALUDISME,11254,41,245780.0
2006-01-02,2006,1,KATANGA,-9.64,26.31,ROUGEOLE,3,0,97817.0
2006-01-02,2006,1,KINSHASA,-4.44,15.26,CHOLERA,0,0,278998.0
2006-01-02,2006,1,KINSHASA,-4.44,15.26,FHV,0,0,278998.0
2006-01-02,2006,1,KINSHASA,-4.44,15.26,FIEVRE JAUNE,0,0,278998.0
2006-01-02,2006,1,KINSHASA,-4.44,15.26,PALUDISME,16038,36,278998.0
2006-01-02,2006,1,KINSHASA,-4.44,15.26,ROUGEOLE,586,4,278998.0
2006-01-02,2006,1,KONGO-CENTRAL,-5.16,14.15,PALUDISME,14145,30,160442.0
2006-01-02,2006,1,KONGO-CENTRAL,-5.16,14.15,ROUGEOLE,1004,12,160442.0
2006-01-02,2006,1,MANIEMA,-3.07,25.95,PALUDISME,2836,7,193955.0
2006-01-02,2006,1,NORD-KIVU,-0.5,29.33,CHOLERA,39,0,256789.0
2006-01-02,2006,1,NORD-KIVU,-0.5,29.33,PALUDISME,11227,6,256789.0
2006-01-02,2006,1,NORD-KIVU,-0.5,29.33,ROUGEOLE,63,0,256789.0
2006-01-02,2006,1,ORIENTALE,2.4,26.5,CHOLERA,38,1,87842.0
2006-01-02,2006,1,ORIENTALE,2.4,26.5,PALUDISME,11596,20,269203.0
2006-01-02,2006,1,ORIENTALE,2.4,26.5,ROUGEOLE,20,0,155095.0
2006-01-02,2006,1,SUD-KIVU,-2.88,28.32,CHOLERA,100,0,227649.0
2006-01-02,2006,1,SUD-KIVU,-2.88,28.32,PALUDISME,9657,20,262627.0
2006-01-09,2006,1,BANDUNDU,-3.31,17.37,PALUDISME,4851,19,216473.0
