DEBUTSEM,ANNEE,MOIS,PROV,LAT,LON,MALADIE,TOTALCAS,TOTALDECES,POP,PRECTOTCORR,RH2M,T2M,POP_ANNUAL,INCIDENCE
2006-01-02,2006,1,EQUATEUR,0.16,18.25,PALUDISME,4346,2,194878.0,4.56,75.5,27.58,194878.0,22.301131990270836
2006-01-02,2006,1,EQUATEUR,0.16,18.25,ROUGEOLE,1,0,100389.0,4.56,75.5,27.58,194878.0,0.005131415552294256
2006-01-02,2006,1,KASAI,-5.45,20.97,PALUDISME,6241,18,285633.0,3.35,70.21,26.84,285633.0,21.849716244271495
2006-01-02,2006,1,KASAI,-5.45,20.97,ROUGEOLE,1,0,124230.0,3.35,70.21,26.84,285633.0,0.003500996033371494
2006-01-02,2006,1,KASAI-ORIENTAL,-6.15,23.6,PALUDISME,5584,35,432387.0,3.83,63.71,27.45,432387.0,12.914356814612836
2006-01-02,2006,1,KASAI-ORIENTAL,-6.15,23.6,ROUGEOLE,22,0,184688.0,3.83,63.71,27.45,432387.0,0.050880345616311315
2006-01-02,2006,1,KATANGA,-9.64,26.31,CHOLERA,358,16,242153.0,4.96,75.37,23.14,242153.0,1.4784041494427078
2006-01-02,2006,1,KATANGA,-9.64,26.31,PALUDISME,11254,41,245780.0,4.96,75.37,23.14,242153.0,46.4747494352744
2006-01-02,2006,1,KATANGA,-9.64,26.31,ROUGEOLE,3,0,97817.0,4.96,75.37,23.14,242153.0,0.012388861587508725
2006-01-02,2006,1,KINSHASA,-4.44,15.26,CHOLERA,0,0,278998.0,3.31,81.98,25.4,278998.0,0.0
2006-01-02,2006,1,KINSHASA,-4.44,15.26,FHV,0,0,278998.0,3.31,81.98,25.4,278998.0,0.0
2006-01-02,2006,1,KINSHASA,-4.44,15.26,FIEVRE JAUNE,0,0,278998.0,3.31,81.98,25.4,278998.0,0.0
2006-01-02,2006,1,KINSHASA,-4.44,15.26,PALUDISME,16038,36,278998.0,3.31,81.98,25.4,278998.0,57.4842830414555
2006-01-02,2006,1,KINSHASA,-4.44,15.26,ROUGEOLE,586,4,278998.0,3.31,81.98,25.4,278998.0,2.1003734793797806
2006-01-02,2006,1,KONGO-CENTRAL,-5.16,14.15,PALUDISME,14145,30,160442.0,3.07,81.41,25.49,160442.0,88.16270053975892
2006-01-02,2006,1,KONGO-CENTRAL,-5.16,14.15,ROUGEOLE,1004,12,160442.0,3.07,81.41,25.49,160442.0,6.257713067650615
2006-01-02,2006,1,MANIEMA,-3.07,25.95,PALUDISME,2836,7,193955.0,3.37,83.89,25.08,193955.0,14.621948390090486
2006-01-02,2006,1,NORD-KIVU,-0.5,29.33,CHOLERA,39,0,256789.0,1.62,61.48,23.6,256789.0,0.15187566445603198
2006-01-02,2006,1,NORD-KIVU,-0.5,29.33,PALUDISME,11227,6,256789.0,1.62,61.48,23.6,256789.0,43.72072012430439
2006-01-02,2006,1,NORD-KIVU,-0.5,29.33,ROUGEOLE,63,0,256789.0,1.62,61.48,23.6,256789.0,0.24533761181359018
2006-01-02,2006,1,ORIENTALE,2.4,26.5,CHOLERA,38,1,87842.0,1.99,68.92,26.06,87842.0,0.4325948862730812
